url,Name,Price,Rating,제조회사,등록년월,칩셋 제조사,제품 시리즈,GPU 제조 공정,AMD 칩셋,인터페이스,권장 파워용량,전원 포트,가로(길이),부스트클럭,스트림 프로세서,메모리 종류,메모리 클럭,메모리 용량,메모리 버스,HDMI,DisplayPort,모니터 지원,,8K 지원,HDR 지원,HDCP 지원,방열판,히트파이프,팬쿨러,팬 개수,두께,제로팬(0-dB기술),백플레이트,DrMOS,LED 라이트,LED온오프스위치,측면 LED,팬 LED,VGA지지대,3x8핀 to 16핀 커넥터,적합성평가인증,안전확인인증,NVIDIA 칩셋,베이스클럭,쿠다 프로세서,HDCP 2.3,사용전력,베이퍼챔버,전원부,2x8핀 to 16핀 커넥터,OC클럭,Dual BIOS,전면 LED,PWM 커넥터,4x8핀 to 16핀 커넥터,16K 지원,후면 추가팬,4K 지원,DVI,전체 칩셋,인텔 칩셋,HDMI2.1,DP2.1,카드 크기,후면 LED,오버클럭 물리키,일반브라켓,LP브라켓,HDMI2.0,DP2.0,수냉 쿨링,수냉 장착 지원,LCD 모니터링,유통회사,멀티VGA 지원,Anti-Sag브라켓,mini DP,DP to mDP 커넥터,DP1.4,클립 온 팬,DP,USB Type-C,기가비트LAN,세로(높이),그래픽카드 구성,12K 지원,썬더볼트3,USB3.x 5Gbps,파워 구성,기타 칩셋
//img.danawa.com/prod_img/500000/285/318/img/77318285_1.jpg?shrink=130:130&_v=20250306230129,ASRock 라데온 RX 9070 XT 스틸레전드 D6 16GB 대원씨티에스,1213920원,N/A,ASRock(제조사 웹사이트 바로가기),2025년 03월,AMD(ATi),라데온 RX 9000,4nm,RX 9070 XT,PCIe5.0x16,정격파워800W 이상,8핀 x2,298mm,2970MHz,4096개,GDDR6,20000MHz,16GB,256-bit,1개,3개,최대 모니터 4개,,○,○,○,○,○,○,3팬,58mm,○,○,○,○,○,○,○,○,○,R-R-ASR-RX9070XTSL16G인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/939/161/img/27161939_1.jpg?shrink=130:130&_v=20240308094830,이엠텍 지포스 RTX 4060 STORM X Dual OC D6 8GB,487000원,4.8,이엠텍(제조사 웹사이트 바로가기),2023년 08월,NVIDIA,지포스 RTX 40,4nm,,PCIe4.0x16(at x8),정격파워600W 이상,8핀 x1,249.9mm,2670MHz,3072개,GDDR6,17000MHz,8GB,128-bit,1개,3개,최대 모니터 4개,,○,○,,○,○,○,2팬,40.2mm,○,○,,○,,○,,,,R-R-EMT-PT-N406인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,RTX 4060,1830MHz,3072개,○,115W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/386/075/img/75075386_1.jpg?shrink=130:130&_v=20250204101702,갤럭시 GALAX 지포스 RTX 5080 WHITE OC D7 16GB,1961990원,5.0,갤럭시(제조사 웹사이트 바로가기),2025년 01월,NVIDIA,지포스 RTX 50,TSMC 4nm,,PCIe5.0x16,정격파워850W 이상,16핀(12V2x6) x1,303mm,2625MHz,10752개,GDDR7,30000MHz,16GB,256-bit,1개,3개,최대 모니터 4개,,○,,,○,○,○,3팬,49.7mm,○,○,,○,,○,○,○,○,R-R-GXL-RTX5080인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,RTX 5080,2295MHz,10752개,○,360W,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/413/319/img/77319413_1.jpg?shrink=130:130&_v=20250305235713,ZOTAC GAMING 지포스 RTX 5070 SOLID OC D7 12GB,988030원,4.7,ZOTAC(제조사 웹사이트 바로가기),2025년 03월,NVIDIA,지포스 RTX 50,4nm,,PCIe5.0x16,정격파워650W 이상,16핀(12V2x6) x1,304.4mm,2542MHz,6144개,GDDR7,28000MHz,12GB,192-bit,1개,3개,최대 모니터 4개,,○,○,,○,○,○,3팬,41.6mm,○,○,,○,,,,○,,R-R-ztp-1N764P00인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,RTX 5070,2325MHz,6144개,○,250W,,9+3페이즈,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/700/541/img/75541700_1.jpg?shrink=130:130&_v=20250318183451,MSI 지포스 RTX 5080 뱅가드 SOC D7 16GB 하이퍼프로져,2248920원,5.0,MSI(제조사 웹사이트 바로가기),2025년 02월,NVIDIA,지포스 RTX 50,TSMC 4nm,,PCIe5.0x16,정격파워850W 이상,16핀(12V2x6) x1,357mm,2730MHz,10752개,GDDR7,30000MHz,16GB,256-bit,1개,3개,최대 모니터 4개,,○,○,,○,○,○,3팬,66mm,○,○,○,○,,○,,○,○,R-R-MSI-MS-V531인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,RTX 5080,,10752개,○,360W,○,,,2745MHz,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/952/465/img/76465952_1.jpg?shrink=130:130&_v=20250415091243,PALIT 지포스 RTX 5070 Ti GAMINGPRO D7 16GB 이엠텍,1359940원,5.0,PALIT(제조사 웹사이트 바로가기),2025년 02월,NVIDIA,지포스 RTX 50,,,PCIe5.0x16,정격파워750W 이상,16핀(12V2x6) x1,331.9mm,2452MHz,8960개,GDDR7,28000MHz,16GB,256-bit,1개,3개,최대 모니터 4개,,○,○,,○,○,○,3팬,60mm,○,○,,○,,○,,,,R-R-EMT-PT-N507TI인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,RTX 5070 Ti,2295MHz,8960개,○,300W,,,○,,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/013/740/img/20740013_1.jpg?shrink=130:130&_v=20231124154554,MSI 지포스 RTX 4060 벤투스 2X 블랙 OC D6 8GB,488990원,4.8,MSI(제조사 웹사이트 바로가기),2023년 06월,NVIDIA,지포스 RTX 40,4nm,,PCIe4.0x16(at x8),정격파워550W 이상,8핀 x1,199mm,2490MHz,3072개,GDDR6,17000MHz,8GB,128-bit,1개,3개,최대 모니터 4개,,○,○,,○,○,○,2팬,41mm,○,○,,,,,,,,R-R-MSI-MS-V516인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,RTX 4060,,3072개,○,115W,,,,2505MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/484/235/img/78235484_1.jpg?shrink=130:130&_v=20250319103211,갤럭시 GALAX 지포스 RTX 5070 EX GAMER WHITE OC D7 12GB,1078700원,N/A,갤럭시(제조사 웹사이트 바로가기),2025년 03월,NVIDIA,지포스 RTX 50,4nm,,PCIe5.0x16,정격파워650W 이상,16핀(12V2x6) x1,322mm,2557MHz,6144개,GDDR7,28000MHz,12GB,192-bit,1개,3개,최대 모니터 4개,,○,○,,○,○,○,3팬,52mm,○,○,,○,,,○,,,R-R-GXL-RTX5070인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,RTX 5070,2325MHz,6144개,○,250W,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/065/551/img/76551065_1.jpg?shrink=130:130&_v=20250221114738,GIGABYTE 지포스 RTX 5070 Ti WINDFORCE OC SFF D7 16GB 제이씨현,1449000원,5.0,GIGABYTE(제조사 웹사이트 바로가기),2025년 02월,NVIDIA,지포스 RTX 50,,,PCIe5.0x16,정격파워750W 이상,16핀(12V2x6) x1,304mm,2497MHz,8960개,GDDR7,28000MHz,16GB,256-bit,1개,3개,최대 모니터 4개,,○,○,,○,○,○,3팬,50mm,○,○,,,,,,○,○,R-R-GBN-GV-N507TA인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,RTX 5070 Ti,2295MHz,8960개,○,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/288/378/img/77378288_1.jpg?shrink=130:130&_v=20250306230129,XFX 라데온 RX 9070 XT SWIFT D6 16GB,1208980원,5.0,XFX(제조사 웹사이트 바로가기),2025년 03월,AMD(ATi),라데온 RX 9000,4nm,RX 9070 XT,PCIe5.0x16,정격파워800W 이상,8핀 x2,325mm,2970MHz,4096개,GDDR6,20000MHz,16GB,256-bit,1개,3개,최대 모니터 4개,,○,○,,○,○,○,3팬,65mm,○,○,,○,,○,,,,R-R-STO-HRX9070XT인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,1660MHz,,,304W,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/483/381/img/77381483_1.jpg?shrink=130:130&_v=20250306230129,PowerColor 라데온 RX 9070 XT Reaper D6 16GB 대원씨티에스,1174000원,N/A,PowerColor(제조사 웹사이트 바로가기),2025년 03월,AMD(ATi),라데온 RX 9000,4nm,RX 9070 XT,PCIe5.0x16,정격파워750W 이상,8핀 x2,289mm,2970MHz,4096개,GDDR6,20000MHz,16GB,256-bit,1개,3개,최대 모니터 4개,,○,○,,○,○,○,3팬,41mm,○,○,,,,○,,,,R-R-TUG-RX9070XT-H인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/904/297/img/64297904_1.jpg?shrink=130:130&_v=20250224091156,PowerColor 라데온 RX 7700 XT D6 12GB 대원씨티에스,594240원,4.8,PowerColor(제조사 웹사이트 바로가기),2024년 08월,AMD(ATi),라데온 RX 7000,5nm,RX 7700 XT,PCIe4.0,정격파워700W 이상,8핀 x2,274mm,2544MHz,3456개,GDDR6,18000MHz,12GB,192-bit,1개,3개,최대 모니터 3개,,○,,,○,○,○,2팬,50mm,,○,,,,,,,,R-R-TUG-RX7700XTP인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//img.danawa.com/prod_img/500000/896/382/img/77382896_1.jpg?shrink=130:130&_v=20250306230129,GIGABYTE 라데온 RX 9070 XT GAMING OC D6 16GB 제이씨현,1219000원,5.0,GIGABYTE(제조사 웹사이트 바로가기),2025년 03월,AMD(ATi),라데온 RX 9000,4nm,RX 9070 XT,PCIe5.0x16,정격파워850W 이상,8핀 x3,288mm,3060MHz,4096개,GDDR6,20000MHz,16GB,256-bit,2개,2개,최대 모니터 4개,,○,○,,○,○,○,3팬,56mm,○,○,,○,,○,,,,R-R-GBN-GV-R9070XT인증번호 확인,상세설명 / 판매 사이트 문의인증번호 확인,,,,,,○,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
